TRAJ	SHORT_TRAJ	AMP_TMP2M_mean	AMP_RH_mean	AMP_WS_mean	AMP_PREC_sum	PM2.5	SEASON
5	3	5.97755102040816	88.6734693877551	0.626530612244898	0	18.32	AUTOMN
5	1	3.68775510204082	80.6530612244898	0.414285714285714	0	22.41	WINTER
5	1	2.69591836734694	87.1020408163265	0.53469387755102	0	17.05	WINTER
2	5	8.80408163265306	81	1.94489795918367	0.1	15.33	WINTER
2	5	7.98367346938775	89.6938775510204	0.869387755102041	8.7	5.62	WINTER
2	5	10.5551020408163	86.9387755102041	1.53265306122449	1.8	11.79	WINTER
3	1	11.1938775510204	82.5714285714286	1.74081632653061	0.8	11.7	WINTER
3	4	9.63673469387755	91.469387755102	0.771428571428571	7.6	7.26	WINTER
3	4	10.8734693877551	81.7755102040816	2.2	9.1	7.26	WINTER
3	4	7.13061224489796	90.6734693877551	1.2734693877551	23.7	3.54	WINTER
3	3	3.84489795918367	94.6734693877551	0.263265306122449	2.9	4.08	WINTER
3	3	0.285714285714286	93.530612244898	0.216326530612245	0.5	7.44	WINTER
6	1	-0.957142857142857	96.6326530612245	0.285714285714286	0.7	8.44	WINTER
6	1	-2.3265306122449	91.3673469387755	0.189795918367347	0.1	13.7	WINTER
9	1	-1.20408163265306	83.8163265306122	0.224489795918367	0.1	6.8	WINTER
2	1	1.00204081632653	83.3469387755102	0.324489795918367	0.1	8.53	WINTER
7	5	7.39795918367347	84.2040816326531	1.36326530612245	0	10.25	WINTER
2	1	7.41632653061224	85.8775510204082	0.653061224489796	7.9	9.71	WINTER
2	3	0.569387755102041	92.2857142857143	0.844897959183673	18.4	3.63	WINTER
4	3	-0.895918367346939	85.1428571428571	0.887755102040816	0	7.98	WINTER
4	3	-2.2	86.8775510204082	0.269387755102041	0.1	7.71	WINTER
9	3	0.210204081632653	93.2857142857143	0.840816326530612	2.4	19.96	WINTER
9	3	-0.261224489795918	89.3673469387755	0.379591836734694	0	17.24	WINTER
9	2	-3.1469387755102	83.7755102040816	0.269387755102041	0	10.16	WINTER
5	1	-1.28775510204082	92.3061224489796	0.222448979591837	0	17.05	WINTER
9	3	0.424489795918367	89.5714285714286	0.508163265306122	0	6.71	WINTER
9	3	-3.1530612244898	81.8571428571429	0.43265306122449	0	10.52	WINTER
9	1	-4.91836734693878	83	0.218367346938776	0	13.24	WINTER
