TRAJ	SHORT_TRAJ	AMP_TMP2M_mean	AMP_RH_mean	AMP_WS_mean	AMP_PREC_sum	O3_max	SEASON
d	d	c	c	c	c	d	d
						class
5	3	16.4224489795918	75.1836734693878	0.426530612244898	0.4	MODERATE	SPRING
9	2	15.4367346938776	65.9795918367347	0.402040816326531	0	MODERATE	SPRING
9	3	18.1204081632653	56.9387755102041	0.379591836734694	0	MODERATE	SPRING
9	3	18.5938775510204	73.2040816326531	0.310204081632653	0	MODERATE	SPRING
9	3	17.8224489795918	82.0408163265306	0.220408163265306	19.9	MODERATE	SPRING
5	1	18.9836734693878	81.7959183673469	0.189795918367347	1.7	MODERATE	SPRING
5	5	19.0044444444444	80.6888888888889	0.861904761904762	444.2	MODERATE	SPRING
5	4	19.8244897959184	75.7755102040816	1.27959183673469	0.1	HIGH	SUMMER
5	5	22.9	66.75	0.928571428571429	0.1	MODERATE	SUMMER
3	5	23.2	67	0.506122448979592	0	MODERATE	SUMMER
3	1	21.15	79	0.326530612244898	0	MODERATE	SUMMER
3	5	15.7314285714286	88.2285714285714	0.3	3.1	MODERATE	SUMMER
3	2	16.5612244897959	77.2244897959184	0.169387755102041	0	MODERATE	SUMMER
9	2	16.4775510204082	72.8979591836735	0.230612244897959	0	MODERATE	SUMMER
9	5	16.2244897959184	79.6530612244898	0.483673469387755	14.5	MODERATE	SUMMER
3	5	17.2448979591837	80.4285714285714	0.714285714285714	25.1	MODERATE	SUMMER
3	5	15.4469387755102	82.3877551020408	0.855102040816327	19	MODERATE	SUMMER
9	5	14.3285714285714	84.6734693877551	0.455102040816327	1.9	MODERATE	SUMMER
9	1	16.1489795918367	77.3673469387755	0.289795918367347	0.1	MODERATE	SUMMER
9	2	16.3857142857143	70.8979591836735	0.224489795918367	0.1	MODERATE	SUMMER
9	1	17.2918367346939	72.3877551020408	0.189795918367347	0	MODERATE	SUMMER
9	2	17.2285714285714	75.9387755102041	0.175510204081633	0	MODERATE	SUMMER
9	2	18.4816326530612	72.8367346938775	0.204081632653061	0	HIGH	SUMMER
9	3	17.2489795918367	81.734693877551	0.16530612244898	7.5	MODERATE	SUMMER
9	3	17.465306122449	78.2040816326531	0.23469387755102	0	MODERATE	SUMMER
5	3	18.2714285714286	75.3673469387755	0.342857142857143	0.1	MODERATE	SUMMER
5	1	16.6333333333333	84.0625	0.219565217391304	32.9	MODERATE	SUMMER
5	3	15.0816326530612	88	0.163829787234043	11.1	MODERATE	SUMMER
5	1	17.1489795918367	81.7755102040816	0.293877551020408	0.3	MODERATE	SUMMER
5	1	17.2795918367347	80.265306122449	0.242857142857143	2.4	MODERATE	SUMMER
3	1	17.7163265306122	81.0816326530612	0.273469387755102	0.4	MODERATE	SUMMER
3	1	19.3979591836735	83.5102040816327	0.263265306122449	1.3	MODERATE	SUMMER
5	5	16.765306122449	81.8979591836735	0.4	1.3	MODERATE	SUMMER
5	3	17.7938775510204	82.8775510204082	0.361224489795918	41.1	MODERATE	SUMMER
5	3	16.5061224489796	84.1224489795918	0.259183673469388	0	MODERATE	SUMMER
5	3	19.24	73.6666666666667	0.21304347826087	0	MODERATE	SUMMER
5	3	12.69375	89.125	0.183673469387755	0.3	MODERATE	SUMMER
5	3	15.5448979591837	79.8571428571429	0.373469387755102	0.1	MODERATE	SUMMER
6	3	15.5510204081633	78.7142857142857	0.212244897959184	0	MODERATE	SUMMER
9	3	14.8775510204082	78.9591836734694	0.255102040816327	0	MODERATE	SUMMER
9	1	14.7734693877551	82.8367346938775	0.297959183673469	0.6	MODERATE	SUMMER
9	1	15.9673469387755	82.7551020408163	0.302040816326531	0	MODERATE	SUMMER
9	3	14.6489795918367	87.6122448979592	0.146938775510204	12	MODERATE	SUMMER
5	3	13.5122448979592	84.1020408163265	0.183673469387755	0.5	MODERATE	SUMMER
5	1	15.5714285714286	80.1632653061225	0.281632653061224	0.1	MODERATE	SUMMER
5	5	15.06875	83.6666666666667	0.202083333333333	3.6	MODERATE	SUMMER
5	2	17.2163265306122	80.265306122449	0.295918367346939	20.4	MODERATE	SUMMER
3	2	12.9775510204082	86.6530612244898	0.16734693877551	2.1	MODERATE	SUMMER
9	3	9.55510204081633	76.4489795918367	0.475510204081633	0	MODERATE	SUMMER
1	3	8.24081632653061	77.8979591836735	0.338775510204082	0	MODERATE	SUMMER
7	1	8.87142857142857	79.5510204081633	0.236734693877551	0	MODERATE	SUMMER
1	1	7.71458333333333	90.6041666666667	0.23125	2.4	MODERATE	SUMMER
1	1	10.0387755102041	80.7142857142857	0.181632653061225	0	MODERATE	SUMMER
1	5	10.765306122449	81.3265306122449	0.581632653061224	0	MODERATE	SUMMER
6	5	12.6918367346939	84.3061224489796	0.848979591836735	0	MODERATE	SUMMER
5	4	16.3612244897959	88.5102040816327	1.3530612244898	2.8	MODERATE	SUMMER
5	5	16.45625	88.8958333333333	1.0825	4.4	MODERATE	SUMMER
5	3	11.3510204081633	97.5714285714286	0.123529411764706	18	MODERATE	SUMMER
7	3	10.5765957446809	98.6170212765958	0.0872340425531915	28.7	LOW	SUMMER
9	3	9.23541666666667	98.9375	0.210416666666667	59.2	MODERATE	SUMMER
5	3	9.42448979591837	98.7755102040816	0.26530612244898	17.7	LOW	SUMMER
1	3	7.47142857142857	97.8775510204082	0.379591836734694	19.1	LOW	SUMMER
1	3	6.79583333333333	89.8541666666667	0.308333333333333	0	MODERATE	SUMMER
1	1	8.79591836734694	85.7551020408163	0.277551020408163	0	MODERATE	SUMMER
9	2	7.89166666666667	75.7916666666667	0.46304347826087	0.3	MODERATE	SUMMER
1	2	8.58775510204082	74.7551020408163	0.310204081632653	0	MODERATE	SUMMER
7	3	6.12083333333333	81.2916666666667	0.197916666666667	0	MODERATE	SUMMER
7	3	7.71463414634146	78.1707317073171	0.334146341463415	0	MODERATE	AUTOMN
7	1	8.25625	83.7083333333333	0.297916666666667	0	MODERATE	AUTOMN
